Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Les Oranges Bleues, Némésis, Dwarf, 1195, 5, 1, 1, 7, 1, 22, 3, 15, 5, 4, 0, 2, 2, 2, 4, 2, 6, 1, 2, 77, 40
Les bails et les termes, Nourrou, DarkElf, 1090, 4, 2, 0, 9, 3, 12, 11, 7, 8, 0, 2, 0, 5, 0, 15, 7, 0, 0, 1, 63, 55
Ska va au GFB, Ouarzy, Skaven, 1070, 4, 2, 0, 14, 4, 14, 21, 13, 18, 0, 3, 8, 0, 19, 0, 2, 7, 0, 5, 104, 70
les khornes U, NAINVERT, Khorne, 1100, 4, 1, 1, 7, 3, 13, 10, 18, 13, 5, 1, 0, 0, 0, 0, 2, 2, 0, 1, 79, 57
Les Gateux , sethi, ChaosRenegade, 1315, 3, 3, 0, 9, 5, 22, 11, 15, 7, 2, 0, 0, 6, 0, 12, 4, 0, 0, 0, 79, 57
{GFB} émo glob ine, PETIT_lutin, Vampire, 1190, 4, 0, 2, 9, 6, 17, 15, 15, 12, 1, 2, 4, 1, 13, 2, 5, 3, 5, 2, 69, 67
[GFB] Fist & Furious, Wilhelm, Orc, 1140, 4, 0, 2, 8, 5, 30, 9, 14, 3, 0, 2, 1, 5, 4, 9, 2, 2, 4, 3, 75, 46
Discipline Zéro, LePiotr, Khorne, 1050, 3, 2, 1, 7, 5, 9, 15, 8, 10, 2, 1, 3, 2, 2, 8, 2, 0, 1, 2, 64, 61
LA BAFFE, LoKKhaR, ChaosRenegade, 1200, 3, 2, 1, 6, 4, 13, 9, 17, 10, 2, 4, 2, 0, 0, 0, 3, 1, 1, 1, 72, 54
[GFB] Les Elfes Maudits, M0by, DarkElf, 1070, 3, 2, 1, 10, 5, 12, 15, 9, 5, 2, 1, 2, 1, 4, 2, 0, 2, 0, 0, 67, 52
Crash Test, Ours, WoodElf, 1015, 3, 2, 2, 8, 7, 11, 17, 5, 17, 2, 4, 4, 2, 15, 4, 3, 5, 0, 0, 64, 78
[FB] LYF, Grimdark, Lizardman, 1150, 3, 1, 2, 8, 9, 16, 12, 11, 14, 1, 2, 1, 3, 1, 11, 4, 6, 1, 3, 67, 74
