Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Les Oranges Bleues, Némésis, Dwarf, 1045, 3, 0, 0, 4, 0, 9, 0, 6, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 33, 12
LA BAFFE, LoKKhaR, ChaosRenegade, 990, 2, 0, 0, 3, 0, 5, 1, 6, 5, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 27, 18
[FB] LYF, Grimdark, Lizardman, 1080, 2, 0, 0, 4, 1, 7, 1, 5, 3, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 30, 19
Les bails et les termes, Nourrou, DarkElf, 930, 2, 0, 0, 4, 1, 4, 3, 4, 1, 0, 0, 0, 3, 0, 13, 3, 0, 0, 0, 26, 16
{GFB} émo glob ine, PETIT_lutin, Vampire, 1050, 2, 0, 0, 4, 1, 6, 5, 3, 1, 1, 1, 3, 0, 11, 0, 1, 0, 0, 1, 29, 13
[GFB] Fist & Furious, Wilhelm, Orc, 990, 2, 0, 0, 4, 1, 12, 3, 7, 1, 0, 1, 0, 3, 0, 7, 0, 0, 1, 1, 34, 15
Souffleurs de Cristal, Cahinn, Elf, 920, 2, 0, 0, 3, 0, 4, 5, 5, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 23, 12
La MORT: C'EST LA VIE!, Mifune38, Undead, 990, 1, 1, 0, 2, 1, 5, 1, 6, 1, 0, 0, 0, 2, 0, 4, 0, 1, 0, 1, 24, 17
Les Poignards Volants, Rookiz, DarkElf, 1000, 1, 1, 0, 2, 1, 2, 1, 5, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 1, 24, 14
[GFB] Les Elfes Maudits, M0by, DarkElf, 970, 1, 1, 0, 3, 2, 5, 4, 2, 2, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 22, 18
GFB Vellavi Mazons, Blackweasel, Amazon, 900, 1, 1, 0, 2, 1, 1, 6, 2, 3, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 19, 21
[GFB] Paint it green, Prysm, Orc, 1010, 1, 0, 1, 1, 1, 4, 3, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19, 13
Rats but not least, Rascal, Skaven, 720, 1, 0, 1, 2, 2, 3, 7, 0, 3, 0, 0, 0, 1, 0, 5, 1, 1, 0, 0, 16, 19
Discipline Zéro, LePiotr, Khorne, 1000, 1, 0, 1, 2, 3, 2, 8, 2, 6, 0, 0, 1, 1, 0, 2, 1, 0, 0, 1, 18, 30
Elvish Rebloch' Club, Jibz74, Elf, 1030, 1, 0, 1, 4, 3, 2, 4, 3, 4, 0, 0, 3, 0, 10, 0, 0, 1, 1, 0, 29, 25
[GFB] Lé TotOrk Flingueur, Kanwulf, Orc, 1045, 1, 0, 1, 1, 2, 7, 6, 3, 3, 1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 16, 20
les khornes U, NAINVERT, Khorne, 950, 1, 0, 1, 2, 2, 3, 3, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 24
[GFB]La caida de Tonatiuh, Akol, Amazon, 860, 1, 0, 1, 2, 1, 1, 6, 4, 6, 0, 2, 0, 4, 0, 4, 2, 0, 1, 0, 22, 25
Les Bestioles, Pifou, Chaos, 1060, 1, 0, 1, 1, 2, 3, 3, 7, 4, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 27, 22
Crash Test, Ours, WoodElf, 860, 1, 0, 2, 2, 4, 1, 9, 0, 7, 1, 2, 0, 1, 0, 2, 0, 1, 0, 0, 14, 36
Eco Terreau [FB], Otopous, WoodElf, 875, 1, 0, 1, 1, 2, 8, 5, 1, 3, 1, 1, 0, 2, 0, 10, 0, 0, 0, 1, 13, 22
La Tribu des Valseuses, Momolskyy, Amazon, 980, 0, 2, 0, 2, 2, 3, 3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 18, 16
[GFB] Sylvania's Pride, Nîme l'Ancien, Vampire, 780, 0, 2, 0, 3, 3, 8, 8, 0, 4, 0, 0, 2, 0, 6, 0, 0, 1, 1, 2, 19, 25
forrest gump runners, FRD, WoodElf, 930, 0, 2, 0, 3, 3, 4, 7, 3, 1, 0, 0, 0, 2, 0, 6, 0, 1, 2, 0, 23, 19
Ska va au GFB, Ouarzy, Skaven, 845, 0, 2, 0, 2, 2, 4, 8, 4, 5, 0, 1, 4, 0, 7, 0, 0, 2, 0, 0, 28, 24
rageux et méchants, Captain Blind, Khorne, 860, 0, 2, 0, 2, 2, 6, 4, 5, 4, 0, 0, 1, 1, 0, 3, 3, 0, 1, 0, 26, 23
Les Gateux , sethi, ChaosRenegade, 1045, 0, 2, 0, 2, 2, 8, 6, 3, 5, 1, 0, 0, 3, 0, 5, 2, 0, 0, 0, 20, 25
[GFB] MiDraculous, Jojolafrite, Vampire, 1030, 0, 2, 0, 2, 2, 4, 8, 3, 6, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 20, 27
GFB 44 - Nurgle, Thulsa Doom, Nurgle, 1065, 0, 2, 0, 2, 2, 8, 6, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 20, 16
Barronies des griffoniers, Rob-inet, Bretonnia, 990, 0, 1, 1, 1, 2, 3, 3, 2, 5, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 11, 22
CPALESDESLEPROBLEM, yaouch, Chaos, 1010, 0, 1, 1, 1, 2, 5, 4, 2, 6, 0, 1, 1, 0, 2, 0, 2, 0, 1, 1, 17, 26
GFB-Loups Noirs, Shkeil, BlackOrc, 1000, 0, 1, 1, 1, 2, 4, 2, 3, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 15, 20
les malhabiles , Dzerko12, DarkElf, 950, 0, 1, 1, 2, 3, 5, 3, 3, 2, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 22, 22
gfb_Lé Broyeurz, Grimgor, BlackOrc, 970, 0, 1, 1, 2, 4, 3, 1, 3, 5, 0, 0, 0, 2, 0, 2, 0, 0, 2, 1, 20, 33
