Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Les Oranges Bleues, Némésis, Dwarf, 1135, 5, 0, 1, 7, 1, 19, 3, 13, 5, 3, 0, 1, 2, 0, 4, 2, 5, 1, 2, 66, 36
Les bails et les termes, Nourrou, DarkElf, 970, 4, 1, 0, 9, 3, 12, 8, 7, 6, 0, 1, 0, 4, 0, 13, 6, 0, 0, 1, 59, 44
{GFB} émo glob ine, PETIT_lutin, Vampire, 1190, 4, 0, 1, 9, 3, 14, 12, 13, 5, 1, 2, 4, 1, 13, 2, 5, 3, 3, 2, 61, 42
LA BAFFE, LoKKhaR, ChaosRenegade, 1130, 3, 2, 0, 6, 2, 12, 7, 16, 6, 2, 2, 2, 0, 0, 0, 3, 0, 1, 1, 66, 38
Ska va au GFB, Ouarzy, Skaven, 1125, 3, 2, 0, 11, 4, 11, 18, 6, 16, 0, 3, 8, 0, 19, 0, 2, 7, 0, 3, 79, 62
les khornes U, NAINVERT, Khorne, 900, 3, 1, 1, 5, 3, 11, 9, 14, 12, 3, 1, 0, 0, 0, 0, 1, 2, 0, 1, 63, 51
[GFB] Les Elfes Maudits, M0by, DarkElf, 1050, 3, 1, 1, 9, 4, 10, 10, 5, 4, 1, 1, 2, 0, 4, 0, 0, 2, 0, 0, 52, 42
Les Poignards Volants, Rookiz, DarkElf, 1150, 2, 3, 0, 5, 3, 8, 7, 9, 5, 1, 1, 2, 2, 3, 4, 3, 0, 2, 2, 52, 39
Les Gateux , sethi, ChaosRenegade, 980, 2, 3, 0, 7, 4, 18, 9, 11, 7, 1, 0, 0, 6, 0, 12, 4, 0, 0, 0, 63, 50
Souffleurs de Cristal, Cahinn, Elf, 955, 3, 0, 2, 5, 4, 7, 20, 7, 15, 1, 1, 2, 1, 2, 0, 4, 2, 2, 2, 48, 52
[GFB]Lone Bay Plunderers, LPoW06, Necromantic, 1040, 3, 0, 0, 6, 0, 10, 5, 9, 1, 2, 0, 0, 2, 0, 2, 1, 0, 3, 1, 42, 20
[GFB] Fist & Furious, Wilhelm, Orc, 1120, 3, 0, 2, 6, 5, 23, 7, 12, 2, 0, 1, 1, 4, 4, 7, 2, 0, 3, 1, 63, 41
Discipline Zéro, LePiotr, Khorne, 1030, 2, 2, 1, 5, 5, 9, 12, 7, 9, 2, 1, 3, 2, 2, 8, 2, 0, 1, 1, 50, 55
[GFB] Sylvania's Pride, Nîme l'Ancien, Vampire, 1200, 2, 2, 1, 11, 6, 15, 17, 4, 11, 0, 2, 9, 2, 23, 5, 0, 1, 1, 2, 71, 62
rageux et méchants, Captain Blind, Khorne, 1150, 2, 2, 1, 7, 5, 14, 11, 20, 8, 1, 0, 1, 2, 0, 6, 9, 0, 2, 0, 87, 55
[GFB] MiDraculous, Jojolafrite, Vampire, 1150, 2, 2, 1, 5, 4, 12, 20, 6, 13, 1, 0, 1, 1, 2, 0, 1, 6, 0, 1, 48, 57
Crash Test, Ours, WoodElf, 905, 2, 2, 2, 6, 6, 9, 13, 2, 15, 2, 3, 1, 1, 2, 2, 2, 3, 0, 0, 45, 68
Rats but not least, Rascal, Skaven, 1160, 2, 1, 2, 7, 7, 12, 12, 11, 5, 1, 0, 0, 2, 0, 8, 1, 2, 0, 0, 69, 53
NANCY BATS [GFB], Otopous, Vampire, 1060, 2, 1, 0, 4, 2, 6, 11, 5, 4, 1, 2, 2, 0, 6, 0, 2, 2, 1, 0, 36, 34
[GFB] Carpates Dreamers, Silsei, Vampire, 1110, 2, 1, 1, 9, 3, 8, 6, 14, 7, 1, 0, 3, 4, 7, 23, 2, 1, 1, 2, 71, 41
[FB] LYF, Grimdark, Lizardman, 1005, 2, 1, 2, 5, 7, 13, 11, 7, 14, 0, 2, 1, 1, 1, 2, 2, 5, 0, 3, 52, 62
[GFB] Paint it green, Prysm, Orc, 1190, 2, 1, 2, 4, 4, 7, 10, 12, 7, 3, 1, 0, 1, 0, 0, 0, 1, 2, 0, 56, 46
Les malhabiles2, Dzerko12, DarkElf, 1025, 2, 0, 1, 3, 2, 10, 11, 6, 4, 2, 4, 0, 1, 0, 3, 3, 0, 0, 1, 33, 27
[FB] Souvenir, Souvenir, Pinguins, Vampire, 840, 2, 0, 1, 2, 2, 4, 7, 1, 5, 0, 0, 3, 2, 8, 1, 1, 2, 1, 0, 22, 30
[GFB]La caida de Tonatiuh, Akol, Amazon, 1130, 2, 0, 3, 3, 3, 10, 14, 7, 11, 0, 2, 1, 5, 0, 6, 6, 2, 1, 1, 43, 54
