Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Les Oranges Bleues, Némésis, Dwarf, 1045, 3, 0, 1, 4, 1, 11, 1, 6, 4, 2, 0, 0, 0, 0, 0, 0, 2, 0, 1, 37, 23
Souffleurs de Cristal, Cahinn, Elf, 1010, 3, 0, 0, 5, 1, 5, 11, 5, 5, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 33, 23
LA BAFFE, LoKKhaR, ChaosRenegade, 950, 3, 0, 0, 4, 0, 6, 3, 8, 5, 1, 2, 0, 0, 0, 0, 3, 0, 0, 0, 38, 22
Les bails et les termes, Nourrou, DarkElf, 1090, 3, 0, 0, 6, 2, 6, 6, 4, 1, 0, 0, 0, 3, 0, 13, 4, 0, 0, 0, 36, 25
{GFB} émo glob ine, PETIT_lutin, Vampire, 1090, 3, 0, 0, 7, 1, 9, 8, 8, 1, 1, 1, 4, 0, 13, 0, 5, 0, 1, 1, 45, 19
Rats but not least, Rascal, Skaven, 795, 2, 0, 1, 5, 4, 8, 7, 4, 3, 0, 0, 0, 1, 0, 5, 1, 2, 0, 0, 37, 29
[FB] LYF, Grimdark, Lizardman, 935, 2, 0, 1, 4, 4, 10, 4, 5, 8, 0, 2, 0, 1, 0, 2, 1, 4, 0, 1, 36, 35
les khornes U, NAINVERT, Khorne, 910, 2, 0, 1, 3, 2, 6, 7, 9, 6, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 39, 30
[GFB] Paint it green, Prysm, Orc, 980, 2, 0, 1, 3, 2, 5, 6, 6, 2, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 35, 24
[GFB] Fist & Furious, Wilhelm, Orc, 1060, 2, 0, 1, 5, 3, 18, 4, 9, 1, 0, 1, 0, 3, 0, 7, 0, 0, 1, 1, 45, 25
Les Poignards Volants, Rookiz, DarkElf, 1020, 1, 2, 0, 3, 2, 5, 5, 5, 5, 1, 1, 1, 2, 3, 4, 0, 0, 1, 1, 34, 28
Les Gateux , sethi, ChaosRenegade, 970, 1, 2, 0, 4, 3, 12, 6, 5, 5, 1, 0, 0, 6, 0, 12, 2, 0, 0, 0, 34, 35
GFB 44 - Nurgle, Thulsa Doom, Nurgle, 1085, 1, 2, 0, 4, 2, 12, 7, 7, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 34, 20
La MORT: C'EST LA VIE!, Mifune38, Undead, 1010, 1, 2, 0, 3, 2, 9, 4, 9, 1, 1, 0, 1, 3, 2, 7, 0, 1, 0, 1, 38, 27
rageux et méchants, Captain Blind, Khorne, 910, 1, 2, 0, 4, 2, 9, 6, 12, 6, 1, 0, 1, 1, 0, 3, 6, 0, 1, 0, 50, 31
Ska va au GFB, Ouarzy, Skaven, 905, 1, 2, 0, 5, 3, 4, 12, 5, 9, 0, 2, 6, 0, 13, 0, 1, 3, 0, 1, 45, 37
Barronies des griffoniers, Rob-inet, Bretonnia, 1015, 1, 1, 1, 3, 2, 3, 4, 3, 6, 0, 1, 0, 1, 0, 0, 4, 0, 1, 2, 23, 28
[GFB] Lé TotOrk Flingueur, Kanwulf, Orc, 1065, 1, 1, 1, 2, 3, 8, 6, 5, 4, 1, 0, 1, 1, 2, 2, 0, 1, 0, 0, 27, 30
